file_path,file_name,source_area,line_number,variable_name,variable_style,extraction_type,likely_role,module_hint,context
lib\selectors\labourRateRealityCheckSelectors.js,labourRateRealityCheckSelectors.js,lib,39,Ready,PascalCase,quoted_object_key,readiness_field,labour,"title: ready ? ""Reality check ready"" : ""Enter your rate to see the drop"", readiness_label: ready ? ""Ready"" : ""Waiting"", warning_count: missing_inputs.length,"
components\rate-builder\RateBuilderLabourRatesResultPanel.jsx,RateBuilderLabourRatesResultPanel.jsx,components,38,Status,PascalCase,object_key,object_field,labour,"<p className=""ui-help""> Status:{"" ""} {selected_labour_source?.rate_status ||"
components\rate-builder\RateBuilderLabourRatesResultPanel.jsx,RateBuilderLabourRatesResultPanel.jsx,components,88,Surplus,PascalCase,object_key,object_field,labour,{current_rate_above_minimum ? `Surplus: ${format_currency( current_rate_gap_to_minimum
components\labour\SavedProfilesCard.jsx,SavedProfilesCard.jsx,components,99,Updated,PascalCase,object_key,object_field,labour,"<div className=""ui-help""> Updated: {profile.updated_at_label} </div>"
lib\storage\labourStorage.js,labourStorage.js,lib,111,acc_bic_code,snake_case,object_key,object_field,labour,"acc_enabled: true, acc_bic_code: """", acc_bic_description: """","
lib\storage\labourStorage.js,labourStorage.js,lib,112,acc_bic_description,snake_case,object_key,object_field,labour,"acc_bic_code: """", acc_bic_description: """", acc_cu_code: """","
lib\storage\labourStorage.js,labourStorage.js,lib,113,acc_cu_code,snake_case,object_key,object_field,labour,"acc_bic_description: """", acc_cu_code: """", acc_cu_description: """","
lib\storage\labourStorage.js,labourStorage.js,lib,114,acc_cu_description,snake_case,object_key,object_field,labour,"acc_cu_code: """", acc_cu_description: """", acc_rate: 0,"
lib\storage\labourStorage.js,labourStorage.js,lib,110,acc_enabled,snake_case,object_key,object_field,labour,"acc_enabled: true, acc_bic_code: """","
lib\storage\labourStorage.js,labourStorage.js,lib,116,acc_manual_override_enabled,snake_case,object_key,object_field,labour,"acc_rate: 0, acc_manual_override_enabled: false, acc_manual_rate: 0,"
lib\storage\labourStorage.js,labourStorage.js,lib,117,acc_manual_rate,snake_case,object_key,object_field,labour,"acc_manual_override_enabled: false, acc_manual_rate: 0,"
lib\storage\labourStorage.js,labourStorage.js,lib,115,acc_rate,snake_case,object_key,object_field,labour,"acc_cu_description: """", acc_rate: 0, acc_manual_override_enabled: false,"
hooks\rate-builder\useRateBuilderLabourRates.js,useRateBuilderLabourRates.js,hooks,233,actions,plain,object_key,object_field,labour,"actions: { set_active_labour_rate_model_id,"
lib\calculations\costAllocationRules.js,costAllocationRules.js,lib,95,active_asset_labour_links,snake_case,snake_case_reference,warning_id,labour,const duplicate_link_warnings = get_duplicate_link_warnings( active_asset_labour_links );
lib\selectors\employeeOverheadSelectors.js,employeeOverheadSelectors.js,lib,20,active_labour_profiles,snake_case,snake_case_reference,warning_id,labour,"if (active_labour_profiles.length === 0) { warnings.push(""No active Labour profiles"");"
hooks\useCostSummary.js,useCostSummary.js,hooks,199,active_staff,snake_case,object_key,output_contract_field,labour,"labour_data.weighted_productivity_percent ?? 0, active_staff: Array.isArray(labour_output_contract.active_staff) ? labour_output_contract.active_staff"
hooks\useCostSummary.js,useCostSummary.js,hooks,200,active_staff,snake_case,snake_case_reference,output_contract_field,labour,"active_staff: Array.isArray(labour_output_contract.active_staff) ? labour_output_contract.active_staff : [],"
lib\calculations\cost-allocation\costAllocationLabourAdapter.js,costAllocationLabourAdapter.js,lib,162,active_staff,snake_case,declaration,output_contract_field,labour,) { const active_staff = safe_array( labour_output_contract?.active_staff ??
lib\calculations\cost-allocation\costAllocationLabourAdapter.js,costAllocationLabourAdapter.js,lib,163,active_staff,snake_case,snake_case_reference,output_contract_field,labour,const active_staff = safe_array( labour_output_contract?.active_staff ?? labour_output_contract?.staff_rows ??
lib\calculations\cost-allocation\costAllocationValidation.js,costAllocationValidation.js,lib,46,active_staff,snake_case,snake_case_reference,warning_id,labour,"export function get_orphan_warnings({ active_staff, active_assets,"
lib\calculations\costAllocationRules.js,costAllocationRules.js,lib,201,active_staff,snake_case,snake_case_reference,warning_id,labour,"const orphan_warnings = get_orphan_warnings({ active_staff, active_assets,"
lib\selectors\costSummarySelectors.js,costSummarySelectors.js,lib,86,active_staff,snake_case,declaration,output_contract_field,labour,const output_contract = labour?.output_contract ?? labour ?? {}; const active_staff = Array.isArray(output_contract.active_staff) ? output_contract.active_staff
lib\selectors\costSummarySelectors.js,costSummarySelectors.js,lib,87,active_staff,snake_case,snake_case_reference,output_contract_field,labour,const active_staff = Array.isArray(output_contract.active_staff) ? output_contract.active_staff : [];
hooks\useCostAllocation.js,useCostAllocation.js,hooks,83,all_labour_type_rows,snake_case,declaration,output_contract_field,labour,const all_labour_type_rows = useMemo(() => { return build_all_labour_type_rows(labour?.output_contract ?? {});
lib\actions\rate-builder\rateBuilderLabourRateModelActions.js,rateBuilderLabourRateModelActions.js,lib,184,allocated_business_overhead_recovery_rate,snake_case,object_key,object_field,labour,"selected_source.non_productive_labour_recovery_rate, allocated_business_overhead_recovery_rate: selected_source.allocated_business_overhead_recovery_rate,"
lib\storage\labourStorage.js,labourStorage.js,lib,102,annual_leave_weeks,snake_case,object_key,object_field,labour,"annual_leave_weeks: 4, public_holiday_days: 12,"
lib\storage\costAllocationStorage.js,costAllocationStorage.js,lib,78,asset_labour_link_id,snake_case,object_key,object_field,labour,"return { asset_labour_link_id: generate_id(""link""), asset_id,"
lib\storage\costAllocationProfileStorage.js,costAllocationProfileStorage.js,lib,152,asset_labour_links,snake_case,object_key,object_field,labour,asset_labour_links: Array.isArray(profile_payload.asset_labour_links) ? profile_payload.asset_labour_links
lib\storage\costAllocationProfileStorage.js,costAllocationProfileStorage.js,lib,63,asset_labour_links,snake_case,object_key,object_field,labour,"), asset_labour_links: Array.isArray(profile?.asset_labour_links) ? profile.asset_labour_links"
lib\storage\costAllocationStorage.js,costAllocationStorage.js,lib,133,asset_labour_links,snake_case,object_key,object_field,labour,"divisions: [create_default_division()], asset_labour_links: [], operational_groups: [],"
lib\storage\costAllocationStorage.js,costAllocationStorage.js,lib,150,asset_labour_links,snake_case,object_key,object_field,labour,"asset_labour_links: safe_array(state?.asset_labour_links),"
lib\storage\costAllocationStorage.js,costAllocationStorage.js,lib,304,asset_labour_links,snake_case,object_key,object_field,labour,"...current, asset_labour_links: [ ...safe_array(current.asset_labour_links),"
lib\storage\costAllocationStorage.js,costAllocationStorage.js,lib,320,asset_labour_links,snake_case,object_key,object_field,labour,"...current, asset_labour_links: safe_array(current.asset_labour_links).map( (link) =>"
components\cost-allocation\CostAllocationGroupsCard.jsx,CostAllocationGroupsCard.jsx,components,83,assigned_labour_cost,snake_case,object_key,object_field,labour,").length, assigned_labour_cost: 0, assigned_labour_hours: 0,"
